"zip","city","county","pop"
"80546","Severance","Weld","232"
"81024","Boncarbo","Las Animas","231"
"81155","Villa Grove","Saguache","230"
"81656","Woody Creek","Pitkin","223"
"80024","Dupont","Adams","216"
"81136","Hooper","Alamosa","211"
"80742","New Raymer","Weld","207"
"81332","Rico","Dolores","207"
"80824","Kirk","Yuma","203"
"80823","Karval","Lincoln","198"
"81033","Crowley","Crowley","195"
"80757","Woodrow","Washington","194"
"80457","Kittredge","Jefferson","192"
"80830","Matheson","Elbert","189"
"80754","Stoneham","Weld","189"
"80432","Como","Park","187"
"81251","Twin Lakes","Lake","173"
"80622","Galeton","Weld","170"
"81027","Branson","Las Animas","169"
"80476","Silver Plume","Clear Creek","169"
"81124","Capulin","Conejos","166"
"81426","Ophir","San Miguel","163"
"81030","Cheraw","Otero","161"
"80463","Mc Coy","Eagle","158"
"80425","Buffalo Creek","Jefferson","157"
"81220","Cimarron","Montrose","155"
"80511","Estes Park","Larimer","154"
"81126","Chama","Costilla","152"
"81325","Egnar","San Miguel","145"
"80801","Anton","Washington","140"
"81087","Vilas","Baca","136"
"81640","Maybell","Moffat","129"
"81522","Gateway","Mesa","123"
"80532","Glen Haven","Larimer","120"
"80544","Niwot","Boulder","117"
"81128","Chromo","Archuleta","109"
"81241","Pitkin","Gunnison","107"
"80453","Idledale","Jefferson","104"
"80740","Lindon","Washington","103"
"81084","Two Buttes","Baca","101"
"80755","Vernon","Yuma","101"
"80929","Colorado Springs","El Paso","97"
"81248","Sargents","Saguache","95"
"81239","Parlin","Gunnison","83"
"80477","Steamboat Springs","Routt","78"
"81081","Trinchera","Las Animas","77"
"81655","Wolcott","Eagle","77"
"80746","Paoli","Phillips","75"
"81243","Powderhorn","Gunnison","74"
"81638","Hamilton","Moffat","72"
"81129","Conejos","Conejos","65"
"81330","Mesa Verde National Park","Montezuma","65"
"81045","Haswell","Kiowa","51"
"81043","Hartman","Prowers","49"
"80862","Wild Horse","Cheyenne","48"
"81429","Paradox","Montrose","47"
"81335","Yellow Jacket","Montezuma","45"
"81138","Jaroso","Costilla","45"
"81021","Arlington","Kiowa","44"
"80434","Cowdrey","Jackson","42"
"81411","Bedrock","Montrose","41"
"80426","Burns","Eagle","38"
"81237","Ohio City","Gunnison","26"
"81232","Hillside","Fremont","17"
"81642","Meredith","Pitkin","10"
"81653","Slater","Moffat","9"
"80473","Rand","Jackson","6"
